codgeo;nom;DEP;chomage;entrep;salary;DEP;;;;;;;;;;;;;
75001,0;Paris 1er Arrondissement;75;6,7;12300;25,3;75;;;;;;;;;;;;;
75002,0;Paris 2e  Arrondissement;75;6,7;12300;24,1;75;;;;;;;;;;;;;
75003,0;Paris 3e  Arrondissement;75;6,7;12300;25,4;75;;;;;;;;;;;;;
75004,0;Paris 4e  Arrondissement;75;6,7;12300;24,5;75;;;;;;;;;;;;;
75005,0;Paris 5e  Arrondissement;75;6,7;12300;26,2;75;;;;;;;;;;;;;
75006,0;Paris 6e  Arrondissement;75;6,7;12300;33,0;75;;;;;;;;;;;;;
75007,0;Paris 7e  Arrondissement;75;6,7;12300;39,0;75;;;;;;;;;;;;;
75008,0;Paris 8e  Arrondissement;75;6,7;12300;32,5;75;;;;;;;;;;;;;
75009,0;Paris 9e  Arrondissement;75;6,7;12300;25,6;75;;;;;;;;;;;;;
75010,0;Paris 10e  Arrondissement;75;6,7;12300;19,7;75;;;;;;;;;;;;;
75011,0;Paris 11e  Arrondissement;75;6,7;12300;19,8;75;;;;;;;;;;;;;
75012,0;Paris 12e  Arrondissement;75;6,7;12300;19,9;75;;;;;;;;;;;;;
75013,0;Paris 13e  Arrondissement;75;6,7;12300;17,9;75;;;;;;;;;;;;;
75014,0;Paris 14e  Arrondissement;75;6,7;12300;21,0;75;;;;;;;;;;;;;
75015,0;Paris 15e  Arrondissement;75;6,7;12300;23,1;75;;;;;;;;;;;;;
75016,0;Paris 16e  Arrondissement;75;6,7;12300;36,3;75;;;;;;;;;;;;;
75017,0;Paris 17e  Arrondissement;75;6,7;12300;25,8;75;;;;;;;;;;;;;
75018,0;Paris 18e  Arrondissement;75;6,7;12300;18,0;75;;;;;;;;;;;;;
75019,0;Paris 19e  Arrondissement;75;6,7;12300;16,1;75;;;;;;;;;;;;;
75020,0;Paris 20e  Arrondissement;75;6,7;12300;16,7;75;;;;;;;;;;;;;
77005;Annet-sur-Marne;17,8;7,1;253;17,8;77;;;;;;;;;;;;;
77014;Avon;77;7,1;589;16,1;77;;;;;;;;;;;;;
77018;Bailly-Romainvilliers;15,8;7,1;261;15,8;77;;;;;;;;;;;;;
77037;Bois-le-Roi;22,0;7,1;314;22,0;77;;;;;;;;;;;;;
77040;Boissise-le-Roi;18,1;7,1;212;18,1;77;;;;;;;;;;;;;
77042;Boissy-le-Châtel;14,4;7,1;233;14,4;77;;;;;;;;;;;;;
77048;Bourron-Marlotte;21,4;7,1;267;21,4;77;;;;;;;;;;;;;
77051;Bray-sur-Seine;12,4;7,1;236;12,4;77;;;;;;;;;;;;;
77053;Brie-Comte-Robert;77;7,1;863;15,2;77;;;;;;;;;;;;;
77055;Brou-sur-Chantereine;14,5;7,1;249;14,5;77;;;;;;;;;;;;;
77058;Bussy-Saint-Georges;77;7,1;613;17,4;77;;;;;;;;;;;;;
77061;Cannes-Écluse;13,6;7,1;184;13,6;77;;;;;;;;;;;;;
77067;Cesson;77;7,1;345;16,9;77;;;;;;;;;;;;;
77069;Chailly-en-Bière;17,2;7,1;215;17,2;77;;;;;;;;;;;;;
77079;Champagne-sur-Seine;77;7,1;321;13,2;77;;;;;;;;;;;;;
77083;Champs-sur-Marne;77;7,1;905;15,4;77;;;;;;;;;;;;;
77085;Chanteloup-en-Brie;16,6;7,1;193;16,6;77;;;;;;;;;;;;;
77088;La Chapelle-la-Reine;15,1;7,1;225;15,1;77;;;;;;;;;;;;;
77096;Chartrettes;20,1;7,1;236;20,1;77;;;;;;;;;;;;;
77099;Château-Landon;13,7;7,1;257;13,7;77;;;;;;;;;;;;;
77100;Le Châtelet-en-Brie;15,5;7,1;278;15,5;77;;;;;;;;;;;;;
77107;Chaumes-en-Brie;15,5;7,1;229;15,5;77;;;;;;;;;;;;;
77108;Chelles;77;7,1;1960;15,1;77;;;;;;;;;;;;;
77111;Chessy;16,4;7,1;261;16,4;77;;;;;;;;;;;;;
77114;Chevry-Cossigny;16,9;7,1;285;16,9;77;;;;;;;;;;;;;
77118;Claye-Souilly;16,3;7,1;654;16,3;77;;;;;;;;;;;;;
77121;Collégien;16,4;7,1;372;16,4;77;;;;;;;;;;;;;
77122;Combs-la-Ville;77;7,1;680;15,4;77;;;;;;;;;;;;;
77128;Couilly-Pont-aux-Dames;17,7;7,1;231;17,7;77;;;;;;;;;;;;;
77131;Coulommiers;77;7,1;741;12,7;77;;;;;;;;;;;;;
77132;Coupvray;18,0;7,1;203;18,0;77;;;;;;;;;;;;;
77139;Courtry;16,7;7,1;403;16,7;77;;;;;;;;;;;;;
77142;Crécy-la-Chapelle;16,3;7,1;388;16,3;77;;;;;;;;;;;;;
77143;Crégy-lès-Meaux;14,6;7,1;192;14,6;77;;;;;;;;;;;;;
77152;Dammarie-les-Lys;77;7,1;760;13,6;77;;;;;;;;;;;;;
77153;Dammartin-en-Go√´le;77;7,1;423;16,3;77;;;;;;;;;;;;;
77155;Dampmart;16,2;7,1;235;16,2;77;;;;;;;;;;;;;
77159;Donnemarie-Dontilly;13,7;7,1;218;13,7;77;;;;;;;;;;;;;
77168;Égreville;14,1;7,1;234;14,1;77;;;;;;;;;;;;;
77169;Émerainville;15,9;7,1;445;15,9;77;;;;;;;;;;;;;
77171;Esbly;16,2;7,1;293;16,2;77;;;;;;;;;;;;;
77175;Évry-Grégy-sur-Yerre;17,6;7,1;202;17,6;77;;;;;;;;;;;;;
77176;Faremoutiers;14,7;7,1;239;14,7;77;;;;;;;;;;;;;
77181;Ferrières-en-Brie;16,3;7,1;216;16,3;77;;;;;;;;;;;;;
77182;La Ferté-Gaucher;11,8;7,1;318;11,8;77;;;;;;;;;;;;;
77183;La Fert√©-sous-Jouarre;77;7,1;472;13,5;77;;;;;;;;;;;;;
77186;Fontainebleau;77;7,1;1167;20,2;77;;;;;;;;;;;;;
77192;Fontenay-Trésigny;14,3;7,1;355;14,3;77;;;;;;;;;;;;;
77210;La Grande-Paroisse;15,0;7,1;212;15,0;77;;;;;;;;;;;;;
77215;Gretz-Armainvilliers;14,3;7,1;473;14,3;77;;;;;;;;;;;;;
77217;Grisy-Suisnes;18,0;7,1;233;18,0;77;;;;;;;;;;;;;
77219;Guérard;16,1;7,1;214;16,1;77;;;;;;;;;;;;;
77222;Guignes;14,2;7,1;230;14,2;77;;;;;;;;;;;;;
77226;Héricy;19,2;7,1;221;19,2;77;;;;;;;;;;;;;
77238;Jouarre;14,0;7,1;256;14,0;77;;;;;;;;;;;;;
77243;Lagny-sur-Marne;77;7,1;1063;16,3;77;;;;;;;;;;;;;
77249;Lésigny;20,9;7,1;347;20,9;77;;;;;;;;;;;;;
77251;Lieusaint;14,4;7,1;455;14,4;77;;;;;;;;;;;;;
77255;Livry-sur-Seine;17,3;7,1;180;17,3;77;;;;;;;;;;;;;
77257;Lizy-sur-Ourcq;12,7;7,1;298;12,7;77;;;;;;;;;;;;;
77258;Lognes;77;7,1;659;14,1;77;;;;;;;;;;;;;
77259;Longperrier;77;7,1;186;14,9;77;;;;;;;;;;;;;
77268;Magny-le-Hongre;17,8;7,1;229;17,8;77;;;;;;;;;;;;;
77276;Mareuil-lès-Meaux;15,9;7,1;321;15,9;77;;;;;;;;;;;;;
77284;Meaux;77;7,1;2094;13;77;;;;;;;;;;;;;
77285;Le M√©e-sur-Seine;77;7,1;501;12,9;77;;;;;;;;;;;;;
77288;Melun;77;7,1;1872;13,2;77;;;;;;;;;;;;;
77294;Mitry-Mory;77;7,1;949;14,5;77;;;;;;;;;;;;;
77296;Moissy-Cramayel;77;7,1;586;14,2;77;;;;;;;;;;;;;
77305;Montereau-Fault-Yonne;77;7,1;983;12,1;77;;;;;;;;;;;;;
77307;Montévrain;15,6;7,1;276;15,6;77;;;;;;;;;;;;;
77312;Montigny-sur-Loing;18,4;7,1;240;18,4;77;;;;;;;;;;;;;
77315;Montry;16,4;7,1;252;16,4;77;;;;;;;;;;;;;
77316;Moret-Loing-et-Orvanne;16,9;7,1;343;16,9;77;;;;;;;;;;;;;
77317;Mormant;13,8;7,1;261;13,8;77;;;;;;;;;;;;;
77320;Mouroux;14,7;7,1;276;14,7;77;;;;;;;;;;;;;
77322;Moussy-le-Neuf;16,1;7,1;233;16,1;77;;;;;;;;;;;;;
77326;Nandy;14,6;7,1;219;14,6;77;;;;;;;;;;;;;
77327;Nangis;77;7,1;398;13,1;77;;;;;;;;;;;;;
77330;Nanteuil-lès-Meaux;15,1;7,1;326;15,1;77;;;;;;;;;;;;;
77333;Nemours;77;7,1;648;12,8;77;;;;;;;;;;;;;
77335;Chauconin-Neufmontiers;16,5;7,1;179;16,5;77;;;;;;;;;;;;;
77337;Noisiel;77;7,1;578;13,8;77;;;;;;;;;;;;;
77344;Oissery;15,2;7,1;164;15,2;77;;;;;;;;;;;;;
77349;Othis;15,7;7,1;243;15,7;77;;;;;;;;;;;;;
77350;Ozoir-la-Ferri√®re;77;7,1;966;17;77;;;;;;;;;;;;;
77359;Perthes;18,6;7,1;201;18,6;77;;;;;;;;;;;;;
77371;Pommeuse;15,1;7,1;228;15,1;77;;;;;;;;;;;;;
77372;Pomponne;17,2;7,1;216;17,2;77;;;;;;;;;;;;;
77373;Pontault-Combault;77;7,1;1753;15;77;;;;;;;;;;;;;
77374;Pontcarré;16,8;7,1;212;16,8;77;;;;;;;;;;;;;
77377;Presles-en-Brie;16,1;7,1;218;16,1;77;;;;;;;;;;;;;
77378;Pringy;15,5;7,1;255;15,5;77;;;;;;;;;;;;;
77379;Provins;77;7,1;658;13,1;77;;;;;;;;;;;;;
77382;Quincy-Voisins;15,7;7,1;329;15,7;77;;;;;;;;;;;;;
77385;Rebais;12,8;7,1;251;12,8;77;;;;;;;;;;;;;
77389;La Rochette;77;7,1;256;17,4;77;;;;;;;;;;;;;
77390;Roissy-en-Brie;77;7,1;689;14,5;77;;;;;;;;;;;;;
77393;Rozay-en-Brie;77;7,1;256;15,2;77;;;;;;;;;;;;;
77394;Rubelles;17,8;7,1;191;17,8;77;;;;;;;;;;;;;
77407;Saint-Fargeau-Ponthierry;16,0;7,1;499;16,0;77;;;;;;;;;;;;;
77409;Saint-Germain-Laval;13,9;7,1;169;13,9;77;;;;;;;;;;;;;
77413;Saint-Germain-sur-Morin;17,1;7,1;255;17,1;77;;;;;;;;;;;;;
77419;Saint-Mammès;14,9;7,1;244;14,9;77;;;;;;;;;;;;;
77420;Saint-Mard;15,6;7,1;233;15,6;77;;;;;;;;;;;;;
77430;Saint-Pathus;16,1;7,1;239;16,1;77;;;;;;;;;;;;;
77431;Saint-Pierre-lès-Nemours;14,9;7,1;315;14,9;77;;;;;;;;;;;;;
77433;Beautheil-Saints;15,4;7,1;175;15,4;77;;;;;;;;;;;;;
77437;Saint-Soupplets;15,0;7,1;325;15,0;77;;;;;;;;;;;;;
77438;Saint-Thibault-des-Vignes;16,7;7,1;480;16,7;77;;;;;;;;;;;;;
77441;Samois-sur-Seine;23,2;7,1;219;23,2;77;;;;;;;;;;;;;
77442;Samoreau;18,1;7,1;214;18,1;77;;;;;;;;;;;;;
77445;Savigny-le-Temple;77;7,1;673;14;77;;;;;;;;;;;;;
77449;Serris;77;7,1;435;15,3;77;;;;;;;;;;;;;
77450;Servon;19,2;7,1;287;19,2;77;;;;;;;;;;;;;
77458;Souppes-sur-Loing;13,5;7,1;296;13,5;77;;;;;;;;;;;;;
77463;Thomery;19,2;7,1;246;19,2;77;;;;;;;;;;;;;
77464;Thorigny-sur-Marne;15,8;7,1;411;15,8;77;;;;;;;;;;;;;
77468;Torcy;77;7,1;869;13,9;77;;;;;;;;;;;;;
77470;Tournan-en-Brie;77;7,1;465;15,4;77;;;;;;;;;;;;;
77475;Trilport;15,2;7,1;297;15,2;77;;;;;;;;;;;;;
77479;Vaires-sur-Marne;16,8;7,1;422;16,8;77;;;;;;;;;;;;;
77482;Varennes-sur-Seine;13,1;7,1;205;13,1;77;;;;;;;;;;;;;
77487;Vaux-le-P√©nil;77;7,1;579;16,7;77;;;;;;;;;;;;;
77493;Verneuil-l'Étang;14,3;7,1;226;14,3;77;;;;;;;;;;;;;
77494;Vernou-la-Celle-sur-Seine;15,0;7,1;218;15,0;77;;;;;;;;;;;;;
77495;Vert-Saint-Denis;15,6;7,1;349;15,6;77;;;;;;;;;;;;;
77513;Villenoy;14,4;7,1;240;14,4;77;;;;;;;;;;;;;
77514;Villeparisis;14,3;7,1;868;14,3;77;;;;;;;;;;;;;
77517;Villevaudé;16,8;7,1;228;16,8;77;;;;;;;;;;;;;
77533;Vulaines-sur-Seine;20,5;7,1;212;20,5;77;;;;;;;;;;;;;
78003;Ablis;15,9;6,6;278;15,9;78;;;;;;;;;;;;;
78005;Ach√®res;78;6,6;595;15,8;78;;;;;;;;;;;;;
78015;Andrésy;19,2;6,6;460;19,2;78;;;;;;;;;;;;;
78029;Aubergenville;78;6,6;450;14,5;78;;;;;;;;;;;;;
78043;Bailly;26,7;6,6;284;26,7;78;;;;;;;;;;;;;
78062;Beynes;18,5;6,6;369;18,5;78;;;;;;;;;;;;;
78073;Bois-d'Arcy;17,4;6,6;501;17,4;78;;;;;;;;;;;;;
78089;Bonnières-sur-Seine;13,7;6,6;336;13,7;78;;;;;;;;;;;;;
78090;Bouafle;17,9;6,6;258;17,9;78;;;;;;;;;;;;;
78092;Bougival;24,6;6,6;522;24,6;78;;;;;;;;;;;;;
78117;Buc;78;6,6;486;23,4;78;;;;;;;;;;;;;
78118;Buchelay;15,3;6,6;315;15,3;78;;;;;;;;;;;;;
78123;Carrières-sous-Poissy;15,5;6,6;466;15,5;78;;;;;;;;;;;;;
78124;Carri√®res-sur-Seine;78;6,6;624;22;78;;;;;;;;;;;;;
78126;La Celle-Saint-Cloud;78;6,6;767;25,2;78;;;;;;;;;;;;;
78133;Chambourcy;33,2;6,6;345;33,2;78;;;;;;;;;;;;;
78138;Chanteloup-les-Vignes;13,8;6,6;371;13,8;78;;;;;;;;;;;;;
78146;Chatou;24,6;6,6;1170;24,6;78;;;;;;;;;;;;;
78158;Le Chesnay-Rocquencourt;25,4;6,6;1342;25,4;78;;;;;;;;;;;;;
78160;Chevreuse;24,1;6,6;397;24,1;78;;;;;;;;;;;;;
78165;Les Clayes-sous-Bois;16,4;6,6;616;16,4;78;;;;;;;;;;;;;
78168;Coignières;13,9;6,6;912;13,9;78;;;;;;;;;;;;;
78172;Conflans-Sainte-Honorine;78;6,6;1385;17,4;78;;;;;;;;;;;;;
78190;Croissy-sur-Seine;33,6;6,6;467;33,6;78;;;;;;;;;;;;;
78206;Ecquevilly;17,2;6,6;272;17,2;78;;;;;;;;;;;;;
78208;Élancourt;16,6;6,6;787;16,6;78;;;;;;;;;;;;;
78217;Épône;16,4;6,6;376;16,4;78;;;;;;;;;;;;;
78220;Les Essarts-le-Roi;19,1;6,6;390;19,1;78;;;;;;;;;;;;;
78224;L'Étang-la-Ville;35,0;6,6;230;35,0;78;;;;;;;;;;;;;
78233;Feucherolles;39,4;6,6;266;39,4;78;;;;;;;;;;;;;
78238;Flins-sur-Seine;15,5;6,6;252;15,5;78;;;;;;;;;;;;;
78239;Follainville-Dennemont;15,6;6,6;168;15,6;78;;;;;;;;;;;;;
78242;Fontenay-le-Fleury;17,3;6,6;449;17,3;78;;;;;;;;;;;;;
78255;Freneuse;14,3;6,6;259;14,3;78;;;;;;;;;;;;;
78263;Gambais;22,6;6,6;273;22,6;78;;;;;;;;;;;;;
78265;Garancières;19,5;6,6;255;19,5;78;;;;;;;;;;;;;
78267;Gargenville;15,4;6,6;383;15,4;78;;;;;;;;;;;;;
78291;Guerville;16,6;6,6;236;16,6;78;;;;;;;;;;;;;
78297;Guyancourt;78;6,6;845;17,9;78;;;;;;;;;;;;;
78299;Hardricourt;16,0;6,6;257;16,0;78;;;;;;;;;;;;;
78310;Houdan;14,7;6,6;414;14,7;78;;;;;;;;;;;;;
78311;Houilles;19,2;6,6;1270;19,2;78;;;;;;;;;;;;;
78314;Issou;14,9;6,6;217;14,9;78;;;;;;;;;;;;;
78321;Jouars-Pontchartrain;22,3;6,6;354;22,3;78;;;;;;;;;;;;;
78322;Jouy-en-Josas;27,7;6,6;479;27,7;78;;;;;;;;;;;;;
78327;Juziers;16,9;6,6;236;16,9;78;;;;;;;;;;;;;
78335;Limay;78;6,6;567;13,2;78;;;;;;;;;;;;;
78350;Louveciennes;30,3;6,6;415;30,3;78;;;;;;;;;;;;;
78354;Magnanville;78;6,6;317;15,7;78;;;;;;;;;;;;;
78356;Magny-les-Hameaux;19,5;6,6;396;19,5;78;;;;;;;;;;;;;
78358;Maisons-Laffitte;26,6;6,6;1077;26,6;78;;;;;;;;;;;;;
78361;Mantes-la-Jolie;78;6,6;1539;12,9;78;;;;;;;;;;;;;
78362;Mantes-la-Ville;13,8;6,6;689;13,8;78;;;;;;;;;;;;;
78372;Marly-le-Roi;78;6,6;692;22,3;78;;;;;;;;;;;;;
78380;Maule;21,0;6,6;410;21,0;78;;;;;;;;;;;;;
78382;Maurecourt;19,1;6,6;255;19,1;78;;;;;;;;;;;;;
78383;Maurepas;78;6,6;702;17;78;;;;;;;;;;;;;
78396;Le Mesnil-le-Roi;27,2;6,6;358;27,2;78;;;;;;;;;;;;;
78397;Le Mesnil-Saint-Denis;22,1;6,6;339;22,1;78;;;;;;;;;;;;;
78401;Meulan-en-Yvelines;14,3;6,6;437;14,3;78;;;;;;;;;;;;;
78402;Mézières-sur-Seine;17,2;6,6;251;17,2;78;;;;;;;;;;;;;
78403;Mézy-sur-Seine;18,4;6,6;186;18,4;78;;;;;;;;;;;;;
78418;Montesson;22,8;6,6;750;22,8;78;;;;;;;;;;;;;
78420;Montfort-l'Amaury;24,2;6,6;358;24,2;78;;;;;;;;;;;;;
78423;Montigny-le-Bretonneux;78;6,6;1444;19,7;78;;;;;;;;;;;;;
78431;Morainvilliers;28,6;6,6;252;28,6;78;;;;;;;;;;;;;
78440;Les Mureaux;78;6,6;1193;12,5;78;;;;;;;;;;;;;
78442;Neauphle-le-Château;21,2;6,6;280;21,2;78;;;;;;;;;;;;;
78455;Noisy-le-Roi;30,2;6,6;400;30,2;78;;;;;;;;;;;;;
78465;Orgerus;19,3;6,6;228;19,3;78;;;;;;;;;;;;;
78466;Orgeval;30,0;6,6;458;30,0;78;;;;;;;;;;;;;
78481;Le Pecq;22,9;6,6;664;22,9;78;;;;;;;;;;;;;
78486;Le Perray-en-Yvelines;18,0;6,6;395;18,0;78;;;;;;;;;;;;;
78490;Plaisir;78;6,6;1134;16,6;78;;;;;;;;;;;;;
78498;Poissy;78;6,6;1389;16,7;78;;;;;;;;;;;;;
78501;Porcheville;15,0;6,6;231;15,0;78;;;;;;;;;;;;;
78502;Le Port-Marly;19,5;6,6;339;19,5;78;;;;;;;;;;;;;
78513;La Queue-les-Yvelines;78;6,6;228;19,1;78;;;;;;;;;;;;;
78517;Rambouillet;78;6,6;1180;18,2;78;;;;;;;;;;;;;
78531;Rosny-sur-Seine;14,8;6,6;303;14,8;78;;;;;;;;;;;;;
78537;Saint-Arnoult-en-Yvelines;19,6;6,6;422;19,6;78;;;;;;;;;;;;;
78545;Saint-Cyr-l'√âcole;78;6,6;597;17,4;78;;;;;;;;;;;;;
78551;Saint-Germain-en-Laye;78;6,6;2347;29;78;;;;;;;;;;;;;
78571;Saint-Nom-la-Bretèche;41,7;6,6;361;41,7;78;;;;;;;;;;;;;
78575;Saint-Rémy-lès-Chevreuse;24,1;6,6;394;24,1;78;;;;;;;;;;;;;
78586;Sartrouville;78;6,6;1993;16,2;78;;;;;;;;;;;;;
78591;Septeuil;19,3;6,6;224;19,3;78;;;;;;;;;;;;;
78621;Trappes;78;6,6;1271;12,3;78;;;;;;;;;;;;;
78624;Triel-sur-Seine;19,9;6,6;509;19,9;78;;;;;;;;;;;;;
78638;Vaux-sur-Seine;19,7;6,6;274;19,7;78;;;;;;;;;;;;;
78640;Vélizy-Villacoublay;18,6;6,6;1264;18,6;78;;;;;;;;;;;;;
78642;Verneuil-sur-Seine;20,5;6,6;528;20,5;78;;;;;;;;;;;;;
78643;Vernouillet;21,1;6,6;433;21,1;78;;;;;;;;;;;;;
78644;La Verrière;13,6;6,6;263;13,6;78;;;;;;;;;;;;;
78646;Versailles;78;6,6;4829;25;78;;;;;;;;;;;;;
78650;Le V√©sinet;78;6,6;865;37,8;78;;;;;;;;;;;;;
78672;Villennes-sur-Seine;31,2;6,6;330;31,2;78;;;;;;;;;;;;;
78674;Villepreux;78;6,6;338;19,1;78;;;;;;;;;;;;;
78683;Villiers-Saint-Fr√©d√©ric;78;6,6;257;21,2;78;;;;;;;;;;;;;
78686;Viroflay;24,6;6,6;705;24,6;78;;;;;;;;;;;;;
78688;Voisins-le-Bretonneux;24,4;6,6;561;24,4;78;;;;;;;;;;;;;
91016;Angerville;13,3;6,8;321;13,3;91;;;;;;;;;;;;;
91021;Arpajon;91;6,8;654;14,8;91;;;;;;;;;;;;;
91027;Athis-Mons;91;6,8;1065;14,6;91;;;;;;;;;;;;;
91044;Ballainvilliers;18,7;6,8;295;18,7;91;;;;;;;;;;;;;
91045;Ballancourt-sur-Essonne;15,5;6,8;311;15,5;91;;;;;;;;;;;;;
91064;Bièvres;24,6;6,8;373;24,6;91;;;;;;;;;;;;;
91085;Boissy-sous-Saint-Yon;16,4;6,8;241;16,4;91;;;;;;;;;;;;;
91086;Bondoufle;91;6,8;580;17,1;91;;;;;;;;;;;;;
91095;Bouray-sur-Juine;17,5;6,8;200;17,5;91;;;;;;;;;;;;;
91097;Boussy-Saint-Antoine;15,9;6,8;272;15,9;91;;;;;;;;;;;;;
91099;Boutigny-sur-Essonne;17,0;6,8;234;17,0;91;;;;;;;;;;;;;
91103;Br√©tigny-sur-Orge;91;6,8;853;15,2;91;;;;;;;;;;;;;
91105;Breuillet;16,6;6,8;336;16,6;91;;;;;;;;;;;;;
91111;Briis-sous-Forges;19,5;6,8;238;19,5;91;;;;;;;;;;;;;
91114;Brunoy;91;6,8;931;17,6;91;;;;;;;;;;;;;
91115;Bruyères-le-Châtel;17,4;6,8;225;17,4;91;;;;;;;;;;;;;
91122;Bures-sur-Yvette;23,1;6,8;348;23,1;91;;;;;;;;;;;;;
91129;Cerny;16,5;6,8;251;16,5;91;;;;;;;;;;;;;
91135;Champcueil;17,0;6,8;214;17,0;91;;;;;;;;;;;;;
91136;Champlan;15,2;6,8;422;15,2;91;;;;;;;;;;;;;
91156;Cheptainville;17,4;6,8;192;17,4;91;;;;;;;;;;;;;
91161;Chilly-Mazarin;14,9;6,8;846;14,9;91;;;;;;;;;;;;;
91174;Corbeil-Essonnes;91;6,8;1772;12,7;91;;;;;;;;;;;;;
91179;Le Coudray-Montceaux;16,4;6,8;252;16,4;91;;;;;;;;;;;;;
91191;Crosne;16,3;6,8;453;16,3;91;;;;;;;;;;;;;
91200;Dourdan;91;6,8;571;15,3;91;;;;;;;;;;;;;
91201;Draveil;17,1;6,8;961;17,1;91;;;;;;;;;;;;;
91207;Égly;14,9;6,8;289;14,9;91;;;;;;;;;;;;;
91215;√âpinay-sous-S√©nart;91;6,8;441;12,7;91;;;;;;;;;;;;;
91216;Épinay-sur-Orge;17,9;6,8;442;17,9;91;;;;;;;;;;;;;
91223;√âtampes;91;6,8;968;13,2;91;;;;;;;;;;;;;
91225;Étiolles;22,6;6,8;208;22,6;91;;;;;;;;;;;;;
91226;Étréchy;16,0;6,8;334;16,0;91;;;;;;;;;;;;;
91228;√âvry;91;6,8;2293;13;91;;;;;;;;;;;;;
91232;La Ferté-Alais;15,9;6,8;289;15,9;91;;;;;;;;;;;;;
91235;Fleury-Mérogis;12,6;6,8;268;12,6;91;;;;;;;;;;;;;
91243;Fontenay-lès-Briis;18,8;6,8;183;18,8;91;;;;;;;;;;;;;
91249;Forges-les-Bains;19,7;6,8;250;19,7;91;;;;;;;;;;;;;
91272;Gif-sur-Yvette;91;6,8;718;25,6;91;;;;;;;;;;;;;
91275;Gometz-le-Châtel;19,3;6,8;208;19,3;91;;;;;;;;;;;;;
91286;Grigny;11,2;6,8;961;11,2;91;;;;;;;;;;;;;
91312;Igny;21,5;6,8;416;21,5;91;;;;;;;;;;;;;
91315;Itteville;17,6;6,8;293;17,6;91;;;;;;;;;;;;;
